word,oldnew,corr,trialsStudy.thisRepN,trialsStudy.thisTrialN,trialsStudy.thisN,trialsStudy.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,weclomeText.started,weclomeText.stopped,key_welcome.keys,key_welcome.rt,key_welcome.started,key_welcome.stopped,polyback.started,polyback.stopped,textBlank500.started,textBlank500.stopped,polygon_3.started,polygon_3.stopped,textstudy.started,textstudy.stopped,textWait.started,textWait.stopped,key_respexit.keys,key_respexit.rt,key_respexit.started,key_respexit.stopped,polygon.started,polygon.stopped,textTesttrait.started,textTesttrait.stopped,key_conf.keys,key_conf.rt,key_conf.started,key_conf.stopped,textconfscale.started,textconfscale.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,7.823425500000667,None,space,0.8815390999989177,7.823425500000667,None,,,,,,,,,,,,,,,,,,,,,,,,,04,001,2020_Aug_08_0120,untitled,2020.1.3,60.03687464853034,
MOUNTAIN,old,y,0,0,0,2,,,,,,,,,,,9.352610399999321,None,9.352610399999321,None,9.260216200000286,None,9.260216200000286,None,,,,,,,,,,,,,,,,,04,001,2020_Aug_08_0120,untitled,2020.1.3,60.03687464853034,
FRIEND,old,y,0,1,1,0,,,,,,,,,,,9.952219500000865,None,9.952219500000865,None,9.85213830000066,None,9.85213830000066,None,,,,,,,,,,,,,,,,,04,001,2020_Aug_08_0120,untitled,2020.1.3,60.03687464853034,
PHONE,old,y,0,2,2,1,,,,,,,,,,,10.551702400000067,None,10.551702400000067,None,10.452036200000293,None,10.452036200000293,None,,,,,,,,,,,,,,,,,04,001,2020_Aug_08_0120,untitled,2020.1.3,60.03687464853034,
,,,,,,,,,,,,,,,,,,,,,,,,,11.049829400000817,None,space,0.5510487999999896,11.049829400000817,None,,,,,,,,,,,04,001,2020_Aug_08_0120,untitled,2020.1.3,60.03687464853034,
WRENCH,old,y,,,,,0,0,0,5,,,,,,,14.849510899999586,None,14.849510899999586,None,,,,,,,,,,,12.14228969999931,None,12.14228969999931,None,3,2.6910978999985673,12.14228969999931,None,12.14228969999931,None,04,001,2020_Aug_08_0120,untitled,2020.1.3,60.03687464853034,
MOUNTAIN,old,y,,,,,0,1,1,2,,,,,,,16.381988299999648,None,16.381988299999648,None,,,,,,,,,,,15.349141400000008,None,15.349141400000008,None,1,1.0121043999988615,15.349141400000008,None,15.349141400000008,None,04,001,2020_Aug_08_0120,untitled,2020.1.3,60.03687464853034,
PET,old,y,,,,,0,2,2,9,,,,,,,18.380818100000397,None,18.380818100000397,None,,,,,,,,,,,16.88186560000031,None,16.88186560000031,None,6,1.4711439999991853,16.88186560000031,None,16.88186560000031,None,04,001,2020_Aug_08_0120,untitled,2020.1.3,60.03687464853034,
None,None,None,,,,,0,3,3,28,,,,,,,19.89659969999957,None,19.89659969999957,None,,,,,,,,,,,18.88081020000027,None,18.88081020000027,None,6,0.9843237000004592,18.88081020000027,None,18.88081020000027,None,04,001,2020_Aug_08_0120,untitled,2020.1.3,60.03687464853034,
None,None,None,,,,,0,4,4,23,,,,,,,22.078785499999867,None,22.078785499999867,None,,,,,,,,,,,20.39665910000076,None,20.39665910000076,None,4,1.6525424999999814,20.39665910000076,None,20.39665910000076,None,04,001,2020_Aug_08_0120,untitled,2020.1.3,60.03687464853034,
GLASS,old,y,,,,,0,5,5,4,,,,,,,23.044868099999803,None,23.044868099999803,None,,,,,,,,,,,22.578478400000677,None,22.578478400000677,None,3,0.43868299999849114,22.578478400000677,None,22.578478400000677,None,04,001,2020_Aug_08_0120,untitled,2020.1.3,60.03687464853034,
None,None,None,,,,,0,6,6,29,,,,,,,24.077627500000744,None,24.077627500000744,None,,,,,,,,,,,23.54457360000015,None,23.54457360000015,None,2,0.5126587999984622,23.54457360000015,None,23.54457360000015,None,04,001,2020_Aug_08_0120,untitled,2020.1.3,60.03687464853034,
HYPOTHALAMUS,new,n,,,,,0,7,7,14,,,,,,,25.09372500000063,None,25.09372500000063,None,,,,,,,,,,,24.57724059999964,None,24.57724059999964,None,1,0.49650779999865335,24.57724059999964,None,24.57724059999964,None,04,001,2020_Aug_08_0120,untitled,2020.1.3,60.03687464853034,
PUTAMEN,new,n,,,,,0,8,8,19,,,,,,,26.126345200000287,None,26.126345200000287,None,,,,,,,,,,,25.59367630000088,None,25.59367630000088,None,2,0.5033600000006118,25.59367630000088,None,25.59367630000088,None,04,001,2020_Aug_08_0120,untitled,2020.1.3,60.03687464853034,
[,None,None,,,,,0,9,9,36,,,,,,,28.891598000000158,None,28.891598000000158,None,,,,,,,,,,,26.626164200000858,None,26.626164200000858,None,3,2.2469901999993454,26.626164200000858,None,26.626164200000858,None,04,001,2020_Aug_08_0120,untitled,2020.1.3,60.03687464853034,
None,None,None,,,,,0,10,10,26,,,,,,,29.974275299999135,None,29.974275299999135,None,,,,,,,,,,,29.391306800000166,None,29.391306800000166,None,4,0.5537650999995094,29.391306800000166,None,29.391306800000166,None,04,001,2020_Aug_08_0120,untitled,2020.1.3,60.03687464853034,
None,None,None,,,,,0,11,11,22,,,,,,,30.990482999999585,None,30.990482999999585,None,,,,,,,,,,,30.47408329999962,None,30.47408329999962,None,3,0.49497949999931734,30.47408329999962,None,30.47408329999962,None,04,001,2020_Aug_08_0120,untitled,2020.1.3,60.03687464853034,
None,None,None,,,,,0,12,12,21,,,,,,,31.88990659999945,None,31.88990659999945,None,,,,,,,,,,,31.49010780000026,None,31.49010780000026,None,4,0.38353989999995974,31.49010780000026,None,31.49010780000026,None,04,001,2020_Aug_08_0120,untitled,2020.1.3,60.03687464853034,
None,None,None,,,,,0,13,13,30,,,,,,,32.83926520000023,None,32.83926520000023,None,,,,,,,,,,,32.38957719999962,None,32.38957719999962,None,3,0.41949209999984305,32.38957719999962,None,32.38957719999962,None,04,001,2020_Aug_08_0120,untitled,2020.1.3,60.03687464853034,
None,None,None,,,,,0,14,14,20,,,,,,,33.77223269999922,None,33.77223269999922,None,,,,,,,,,,,33.33908899999915,None,33.33908899999915,None,2,0.40612380000129633,33.33908899999915,None,33.33908899999915,None,04,001,2020_Aug_08_0120,untitled,2020.1.3,60.03687464853034,
None,None,None,,,,,0,15,15,24,,,,,,,34.688213800000085,None,34.688213800000085,None,,,,,,,,,,,34.27191630000016,None,34.27191630000016,None,1,0.4012590000002092,34.27191630000016,None,34.27191630000016,None,04,001,2020_Aug_08_0120,untitled,2020.1.3,60.03687464853034,
None,None,None,,,,,0,16,16,25,,,,,,,35.58771010000055,None,35.58771010000055,None,,,,,,,,,,,35.188081899999816,None,35.188081899999816,None,1,0.3730085000006511,35.188081899999816,None,35.188081899999816,None,04,001,2020_Aug_08_0120,untitled,2020.1.3,60.03687464853034,
None,None,None,,,,,0,17,17,32,,,,,,,36.5037769999999,None,36.5037769999999,None,,,,,,,,,,,36.087742399999115,None,36.087742399999115,None,1,0.3852540999996563,36.087742399999115,None,36.087742399999115,None,04,001,2020_Aug_08_0120,untitled,2020.1.3,60.03687464853034,
GLOBE,old,y,,,,,0,18,18,7,,,,,,,37.50323430000026,None,37.50323430000026,None,,,,,,,,,,,37.00366580000082,None,37.00366580000082,None,2,0.4853263999993942,37.00366580000082,None,37.00366580000082,None,04,001,2020_Aug_08_0120,untitled,2020.1.3,60.03687464853034,
HAMMER,old,y,,,,,0,19,19,8,,,,,,,38.43626480000057,None,38.43626480000057,None,,,,,,,,,,,38.00318159999915,None,38.00318159999915,None,3,0.41431829999964975,38.00318159999915,None,38.00318159999915,None,04,001,2020_Aug_08_0120,untitled,2020.1.3,60.03687464853034,
FORNIX,new,n,,,,,0,20,20,16,,,,,,,39.33564010000009,None,39.33564010000009,None,,,,,,,,,,,38.93595559999994,None,38.93595559999994,None,4,0.36889700000028824,38.93595559999994,None,38.93595559999994,None,04,001,2020_Aug_08_0120,untitled,2020.1.3,60.03687464853034,
None,None,None,,,,,0,21,21,34,,,,,,,40.25195920000078,None,40.25195920000078,None,,,,,,,,,,,39.8354087000007,None,39.8354087000007,None,5,0.38978580000002694,39.8354087000007,None,39.8354087000007,None,04,001,2020_Aug_08_0120,untitled,2020.1.3,60.03687464853034,
None,None,None,,,,,0,22,22,35,,,,,,,41.234370500000296,None,41.234370500000296,None,,,,,,,,,,,40.7515370000001,None,40.7515370000001,None,6,0.457256800000323,40.7515370000001,None,40.7515370000001,None,04,001,2020_Aug_08_0120,untitled,2020.1.3,60.03687464853034,
